startYear,Top 0%-10%,Top 10%-20%,Top 20%-30%,Top 30%-40%,Top 40%-50%,Top 50%-60%,Top 60%-70%,Top 70%-80%,Top 80%-90%,Top 90%-100%
1920.0,79.0,72.0,70.0,52.0,62.5,70.0,70.0,60.0,60.0,74.0
1921.0,89.0,87.0,66.5,65.0,59.0,60.0,64.5,61.0,60.0,67.0
1922.0,94.0,75.0,75.0,70.0,75.0,61.0,66.0,60.0,65.0,70.0
1923.0,90.0,90.0,80.5,77.5,70.0,65.0,76.0,70.0,70.0,70.0
1924.0,94.5,82.5,75.0,67.0,70.0,70.0,60.0,70.0,60.0,83.0
1925.0,84.0,74.0,80.0,70.0,70.0,60.5,60.0,60.0,60.0,71.0
1926.0,86.0,70.5,74.5,70.0,70.0,60.0,60.0,65.0,70.0,72.0
1927.0,85.0,75.5,75.0,74.5,70.0,70.0,70.0,60.0,60.0,61.0
1928.0,88.0,85.5,79.0,70.0,65.5,70.0,70.0,70.0,70.0,72.0
1929.0,91.0,80.0,81.0,77.5,78.0,75.0,72.0,70.0,66.0,77.0
1930.0,87.0,75.0,80.0,71.0,75.0,76.0,77.5,74.0,70.0,82.0
1931.0,83.5,76.0,75.0,72.0,73.5,80.0,73.5,66.5,77.0,85.0
1932.0,78.0,73.0,73.0,70.0,70.0,72.0,75.5,73.5,78.5,84.0
1933.0,77.5,73.0,73.0,73.0,69.0,77.0,76.0,73.0,77.0,76.5
1934.0,80.0,77.5,73.5,72.0,73.5,71.5,75.0,73.0,74.5,86.5
1935.0,85.5,77.0,72.0,71.5,70.5,67.0,70.0,75.0,77.0,84.0
1936.0,87.0,80.0,68.0,71.0,70.0,71.5,73.0,74.0,78.0,82.0
1937.0,90.0,83.0,71.0,68.0,70.0,72.0,76.0,76.0,80.5,85.0
1938.0,91.0,78.0,72.0,74.5,75.0,76.0,80.0,83.5,82.0,85.5
1939.0,92.0,82.0,77.0,71.0,70.0,77.0,85.0,80.0,85.0,86.0
1940.0,93.5,82.5,77.0,68.0,73.0,81.0,75.0,81.0,89.0,83.5
1941.0,93.0,85.0,75.0,76.0,78.0,79.5,70.0,83.0,86.0,85.0
1942.0,91.0,86.0,76.0,72.0,72.0,80.0,88.0,79.5,86.0,86.0
1943.0,96.5,87.0,76.0,81.0,72.0,80.0,85.0,88.0,84.0,87.0
1944.0,97.5,89.0,81.0,76.5,75.0,84.0,83.0,83.0,82.0,89.5
1945.0,96.0,87.0,78.0,78.5,71.0,83.0,80.0,80.5,85.0,85.0
1946.0,99.0,91.0,81.5,84.0,83.0,75.0,85.5,88.5,83.0,84.0
1947.0,100.0,95.0,89.0,77.5,75.0,88.0,86.0,88.0,85.0,91.0
1948.0,96.0,96.0,86.0,85.5,79.0,81.0,84.0,85.5,83.0,88.0
1949.0,97.0,90.0,87.0,86.0,84.0,85.0,88.0,90.0,90.0,90.0
1950.0,94.0,90.0,86.0,86.0,83.0,85.0,90.0,89.0,92.0,90.0
1951.0,92.0,88.0,86.0,85.0,88.5,87.0,88.0,93.5,90.0,93.0
1952.0,96.5,88.0,86.0,84.0,83.0,90.0,93.0,94.0,92.0,90.0
1953.0,90.0,87.0,83.0,84.0,88.0,88.0,93.0,94.5,92.0,91.0
1954.0,96.0,90.0,85.0,86.0,90.0,90.0,94.5,93.0,94.5,92.0
1955.0,101.0,93.0,88.0,91.0,90.0,92.0,92.5,91.5,93.0,92.0
1956.0,99.0,92.0,88.0,86.0,89.0,95.0,92.0,92.0,92.0,92.0
1957.0,96.0,90.0,88.0,89.5,90.0,93.0,91.0,91.0,90.0,89.5
1958.0,98.0,90.0,92.0,88.0,89.0,92.0,90.5,90.0,93.0,90.0
1959.0,98.0,91.0,90.0,92.0,91.5,90.0,91.0,90.5,90.0,90.0
1960.0,101.0,94.0,91.0,90.0,94.0,90.0,91.0,90.0,90.0,90.0
1961.0,103.0,97.0,92.0,90.0,87.0,94.0,91.0,90.0,90.0,88.0
1962.0,106.0,94.5,93.0,90.0,90.0,91.0,92.0,90.0,90.0,89.5
1963.0,101.0,95.0,94.0,95.0,90.0,89.0,90.0,91.0,92.0,90.0
1964.0,102.0,94.0,92.0,93.5,91.0,90.0,90.0,93.0,90.0,89.0
1965.0,102.0,97.0,92.0,91.0,92.0,91.0,90.0,90.0,88.0,89.0
1966.0,102.0,93.0,92.0,92.0,90.0,90.0,90.0,90.0,88.0,88.0
1967.0,101.5,95.0,94.0,93.0,90.0,92.0,90.0,89.5,90.0,90.0
1968.0,101.0,95.0,92.0,93.5,90.0,89.0,91.0,90.0,90.0,90.0
1969.0,101.5,96.0,92.0,91.0,91.0,90.0,92.0,88.0,88.0,87.5
1970.0,100.0,94.0,90.0,91.0,90.5,90.0,89.0,89.0,85.0,85.0
1971.0,99.0,95.0,91.5,90.0,90.0,90.0,89.5,89.0,86.0,85.0
1972.0,98.0,93.0,94.0,90.0,90.0,90.0,89.0,87.0,87.0,88.0
1973.0,99.0,94.0,92.5,91.5,90.0,90.0,90.0,88.0,87.5,87.0
1974.0,97.0,94.0,95.0,91.0,92.0,91.0,90.0,90.0,88.0,86.0
1975.0,101.5,95.0,93.0,94.0,92.0,90.0,88.0,88.0,89.0,89.0
1976.0,101.5,93.0,94.0,90.0,92.0,90.0,90.0,90.0,90.0,88.5
1977.0,100.0,95.0,95.0,93.0,90.5,91.0,90.0,90.0,90.0,88.0
1978.0,103.5,96.0,94.5,92.0,93.0,90.0,90.0,90.0,83.0,87.0
1979.0,103.0,98.5,93.0,91.5,92.0,91.0,90.0,90.0,86.0,87.0
1980.0,101.5,98.0,95.5,94.0,92.0,90.0,93.0,90.0,89.0,87.0
1981.0,99.0,99.0,92.0,93.0,92.0,90.0,90.0,90.0,87.5,87.0
1982.0,98.0,98.0,91.0,91.0,90.0,90.5,90.0,90.0,90.0,90.0
1983.0,99.0,95.0,92.0,92.0,92.0,91.0,90.0,90.0,89.0,87.0
1984.0,100.0,95.0,93.0,92.0,91.0,92.0,90.0,90.0,90.0,87.0
1985.0,100.0,94.0,95.0,91.0,92.0,92.0,90.0,90.0,90.0,90.0
1986.0,99.0,92.0,92.0,91.0,91.5,92.0,90.0,90.0,90.0,87.0
1987.0,98.0,94.0,94.0,90.0,93.0,95.0,93.0,90.0,90.0,90.0
1988.0,99.0,95.0,94.0,92.0,91.0,93.0,90.0,90.0,90.0,90.0
1989.0,102.0,95.0,96.0,92.0,93.0,93.0,93.0,90.0,90.0,90.0
1990.0,103.0,96.0,96.0,94.0,92.0,93.0,90.0,90.0,90.0,90.0
1991.0,103.0,97.0,95.0,93.0,92.0,93.0,90.0,90.0,91.0,90.0
1992.0,104.5,99.0,95.0,95.0,94.0,93.0,91.5,92.0,90.0,90.0
1993.0,105.0,98.0,96.0,94.5,94.0,93.0,90.0,90.0,89.0,90.0
1994.0,103.0,100.0,95.0,95.0,95.0,94.0,92.0,92.0,90.0,88.0
1995.0,104.0,99.0,95.0,93.5,93.0,92.0,92.0,90.5,90.5,90.0
1996.0,106.0,98.0,96.0,95.0,95.0,91.0,94.0,90.0,90.0,89.5
1997.0,105.0,100.0,95.0,95.0,94.0,93.0,92.0,90.0,90.0,86.0
1998.0,104.0,99.0,97.0,95.0,93.0,92.0,91.5,90.0,90.0,87.0
1999.0,105.0,100.0,98.0,95.0,93.0,92.0,90.0,92.0,90.0,87.0
2000.0,105.0,100.0,96.0,96.0,92.0,91.0,91.0,90.0,87.0,88.0
2001.0,104.0,99.5,97.0,95.0,92.5,93.0,90.0,90.0,90.0,85.0
2002.0,101.0,100.0,98.5,95.0,92.0,92.0,91.0,90.0,88.0,85.0
2003.0,104.0,100.0,97.0,96.0,94.0,93.0,90.0,89.0,86.0,85.0
2004.0,104.0,98.0,95.0,95.0,95.0,92.0,89.0,88.0,86.0,84.0
2005.0,104.0,100.0,96.0,94.0,93.0,91.5,90.0,87.0,85.0,80.0
2006.0,102.0,97.0,96.0,95.0,93.0,90.0,90.0,87.0,85.0,83.0
2007.0,101.0,98.0,95.0,95.0,92.0,90.0,90.0,88.0,85.0,83.0
2008.0,101.0,98.0,96.0,95.0,92.0,90.0,90.0,88.0,84.0,84.0
2009.0,100.0,96.0,94.0,92.0,90.0,90.0,88.0,86.0,85.0,84.0
2010.0,103.0,96.0,95.0,91.0,90.0,90.0,87.0,85.5,83.0,82.0
2011.0,102.0,96.0,93.0,92.0,90.0,90.0,88.0,86.0,82.0,80.0
2012.0,101.0,95.0,93.0,91.0,90.0,88.0,88.0,85.0,86.0,82.0
2013.0,102.0,96.0,94.0,91.0,90.0,90.0,86.0,85.0,84.0,82.0
2014.0,102.0,95.0,94.0,92.0,90.0,90.0,88.0,85.0,85.0,82.0
2015.0,100.0,97.0,95.0,93.0,90.0,90.0,89.0,86.0,85.0,80.0
2016.0,103.0,98.0,94.0,93.0,90.0,90.0,88.0,86.0,85.0,83.0
2017.0,104.0,98.0,94.0,93.0,91.0,90.0,89.0,87.0,85.0,83.0
2018.0,104.0,99.0,94.0,93.0,92.0,90.0,89.0,86.0,85.0,83.0
2019.0,104.0,100.0,96.0,94.0,91.5,90.0,89.0,88.0,87.0,82.0
2020.0,102.0,97.0,94.0,92.0,90.0,88.0,87.0,85.0,83.0,81.0
2021.0,108.0,102.0,96.0,94.0,92.0,91.0,90.0,89.0,86.0,83.0
2022.0,112.0,108.0,100.0,98.5,96.0,95.0,93.0,90.0,90.0,88.0
2023.0,116.5,106.0,108.0,99.0,97.0,92.0,95.0,93.0,90.0,90.0
