primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,ProductionBudget,WorldwideGross
Fantasy Island,2020,109,4.9,54493,Jeff Wadlow,7000000,48518957
Unhinged,2020,90,6,71141,Derrick Borte,33000000,37339104
Rogue City,2020,116,6.1,9210,Olivier Marchal,13000000,8573
The Father,2020,97,8.2,164052,Florian Zeller,6000000,36427155
The Invisible Man,2020,124,7.1,235050,Leigh Whannell,7000000,139011965
The Midnight Sky,2020,118,5.6,85668,George Clooney,100000000,75615
Minari,2020,115,7.4,85376,Lee Isaac Chung,2000000,15474659
The Trial of the Chicago 7,2020,129,7.7,182367,Aaron Sorkin,35000000,116473
Bill & Ted Face the Music,2020,91,5.9,49642,Dean Parisot,25000000,6255630
Freaky,2020,102,6.3,63124,Christopher Landon,6000000,18073433
Host,2020,57,6.5,33053,Rob Savage,35000,436536
Honest Thief,2020,99,6,53062,Mark Williams,30000000,32609631
Love and Monsters,2020,109,6.9,132933,Michael Matthews,30000000,1131683
The Croods: A New Age,2020,95,6.9,47081,Joel Crawford,65000000,214790246
Artemis Fowl,2020,95,4.2,29268,Kenneth Branagh,100000000,0
Cut Throat City,2020,123,4.9,2959,RZA,8000000,864907
Echo Boomers,2020,94,5.3,8618,Seth Savoy,2500000,2003433
The War with Grandpa,2020,94,5.6,22269,Tim Hill,38000000,46819069
Mulan,2020,115,5.7,151451,Niki Caro,200000000,69973540
The New Mutants,2020,94,5.3,83029,Josh Boone,67000000,44608247
The SpongeBob Movie: Sponge on the Run,2020,91,5.9,19475,Tim Hill,60000000,4810790
Wolfwalkers,2020,103,8,34491,"Tomm Moore, Ross Stewart",11250000,3241142
Greyhound,2020,91,7,101734,Aaron Schneider,50300000,0
The Banker,2020,120,7.3,30693,George Nolfi,11000000,2990000
Monster Hunter,2020,103,5.2,61979,Paul W.S. Anderson,60000000,47853893
Dolittle,2020,101,5.6,66730,Stephen Gaghan,175000000,251509166
Tenet,2020,150,7.3,523428,Christopher Nolan,205000000,360240189
Hillbilly Elegy,2020,116,6.7,43881,Ron Howard,45000000,38852
Timmy Failure: Mistakes Were Made,2020,99,6,3147,Tom McCarthy,40000000,0
Summerland,2020,99,7,7953,Jessica Swale,1100000,1414596
News of the World,2020,118,6.8,90259,Paul Greengrass,38000000,12668325
Wonder Woman 1984,2020,151,5.4,275820,Patty Jenkins,200000000,166360232
The Rhythm Section,2020,109,5.4,18999,Reed Morano,50000000,5983043
Onward,2020,102,7.4,155260,Dan Scanlon,200000000,133357601
The Call of the Wild,2020,100,6.7,51877,Chris Sanders,125000000,107351191
The Turning,2020,94,3.9,15122,Floria Sigismondi,12000000,18460739
Like a Boss,2020,83,4.7,14672,Miguel Arteta,29000000,26563888
Project Power,2020,113,6,92122,"Henry Joost, Ariel Schulman",85100000,0
The Old Guard,2020,125,6.6,170948,Gina Prince-Bythewood,70000000,0
Greenland,2020,119,6.4,122193,Ric Roman Waugh,34000000,40629075
The Photograph,2020,106,6.1,5830,Stella Meghie,15000000,20704381
Come Play,2020,96,5.7,15782,Jacob Chase,9000000,12624174
Words on Bathroom Walls,2020,110,7.1,11597,Thor Freudenthal,9300000,3117681
My Spy,2020,99,6.3,32046,Peter Segal,18000000,7074124
The Hunt,2020,90,6.5,118344,Craig Zobel,18200000,12400979
All My Life,2020,91,6.3,5235,Marc Meyers,25000000,2024063
The Tax Collector,2020,95,4.8,14400,David Ayer,30000000,1309971
The Way Back,2020,108,6.7,48775,Gavin O'Connor,23000000,14563409
The Lovebirds,2020,86,6.1,26777,Michael Showalter,16000000,0
Extraction,2020,116,6.7,210493,Sam Hargrave,65000000,0
Gretel & Hansel,2020,87,5.5,32056,Oz Perkins,5000000,22052456
Brahms: The Boy II,2020,86,4.7,18734,William Brent Bell,10000000,18968326
Impractical Jokers: The Movie,2020,92,5.8,6838,Chris Henchy,3000000,10466091
Emma.,2020,124,6.7,57255,Autumn de Wilde,10000000,27365788
Palm Springs,2020,90,7.4,166203,Max Barbakow,5000000,1818417
I Still Believe,2020,116,6.4,12573,"Andrew Erwin, Jon Erwin",12000000,16703751
Mortal Kombat,2021,110,6,178980,Simon McQuoid,55000000,83508259
Jungle Cruise,2021,127,6.6,197345,Jaume Collet-Serra,200000000,210469803
Army of the Dead,2021,148,5.7,176968,Zack Snyder,90000000,0
A Journal for Jordan,2021,131,5.9,2328,Denzel Washington,25000000,6682685
The Little Things,2021,128,6.3,109836,John Lee Hancock,30000000,29735222
The Power of the Dog,2021,126,6.8,180816,Jane Campion,35000000,263233
The Forever Purge,2021,103,5.4,36823,Everardo Gout,18000000,76950525
Spiral,2021,93,5.2,56985,Darren Lynn Bousman,20000000,39519588
CODA,2021,111,8,142870,Sian Heder,10000000,2237618
Halloween Kills,2021,105,5.5,89617,David Gordon Green,20000000,130851162
The Matrix Resurrections,2021,148,5.7,257892,Lana Wachowski,190000000,159197755
Spider-Man: No Way Home,2021,148,8.2,783008,Jon Watts,200000000,1910048245
Old,2021,108,5.8,130619,M. Night Shyamalan,18000000,89836797
Wrath of Man,2021,119,7.1,186432,Guy Ritchie,40000000,103913405
Spirit Untamed,2021,88,5.5,4051,"Elaine Bogan, Ennio Torresan",30000000,42235744
House of Gucci,2021,158,6.6,143335,Ridley Scott,75000000,147474138
Annaatthe,2021,163,4,10107,Siva,24000000,447432
Licorice Pizza,2021,133,7.2,124816,Paul Thomas Anderson,40000000,32903549
Dune,2021,155,8,660477,Denis Villeneuve,165000000,391774790
Midnight in the Switchgrass,2021,99,4.5,8706,Randall Emmett,15000000,97518
Malcolm & Marie,2021,106,6.6,38653,Sam Levinson,2500000,0
In the Heights,2021,143,7.3,48854,Jon M. Chu,55000000,43646976
Chaos Walking,2021,109,5.7,51510,Doug Liman,100000000,27072169
No Time to Die,2021,163,7.3,414003,Cary Joji Fukunaga,250000000,759959662
Clifford the Big Red Dog,2021,96,5.9,14566,Walt Becker,64000000,78418101
Encanto,2021,102,7.2,232654,"Jared Bush, Byron Howard, Charise Castro Smith",150000000,231120602
Reminiscence,2021,116,5.9,58925,Lisa Joy,67972729,15449322
Black Widow,2021,134,6.7,391492,Cate Shortland,200000000,379751131
Space Jam: A New Legacy,2021,115,4.5,74655,Malcolm D. Lee,150000000,143987946
West Side Story,2021,156,7.2,87228,Steven Spielberg,100000000,74826329
Malignant,2021,111,6.2,96026,James Wan,40000000,33974421
The Last Duel,2021,152,7.4,163093,Ridley Scott,100000000,30080003
Ghostbusters: Afterlife,2021,124,7.1,189750,Jason Reitman,75000000,203614138
Godzilla vs. Kong,2021,113,6.3,216886,Adam Wingard,155000000,468043852
Lansky,2021,119,6.2,8523,Eytan Rockaway,5000000,144894
F9: The Fast Saga,2021,143,5.2,139372,Justin Lin,200000000,720752238
Annette,2021,141,6.3,20897,Leos Carax,15500000,3349127
The Suicide Squad,2021,132,7.2,365414,James Gunn,185000000,167097737
Sing 2,2021,110,7.4,73508,"Garth Jennings, Christophe Lourdelet",85000000,404655351
Coming 2 America,2021,110,5.3,71933,Craig Brewer,60000000,0
Palmer,2021,110,7.2,37360,Fisher Stevens,6713933,0
The Marksman,2021,108,5.6,39391,Robert Lorenz,23000000,23855847
Resident Evil: Welcome to Raccoon City,2021,107,5.2,56943,Johannes Roberts,25000000,41909091
The Conjuring: The Devil Made Me Do It,2021,112,6.3,121956,Michael Chaves,40000000,200266441
Nightmare Alley,2021,150,7,150672,Guillermo del Toro,60000000,37537773
Nobody,2021,92,7.4,270194,Ilya Naishuller,16000000,57512470
Red Notice,2021,118,6.3,286527,Rawson Marshall Thurber,150000000,173638
The Many Saints of Newark,2021,120,6.3,56886,Alan Taylor,50000000,12732039
Peter Rabbit 2: The Runaway,2021,93,6.2,12662,Will Gluck,45000000,150976764
Passing,2021,98,6.7,15476,Rebecca Hall,10000000,0
Eternals,2021,156,6.3,353635,Chloé Zhao,200000000,401731759
Cherry,2021,142,6.6,33958,"Anthony Russo, Joe Russo",40000000,0
The Green Knight,2021,130,6.6,105450,David Lowery,15000000,20022491
Shang-Chi and the Legend of the Ten Rings,2021,132,7.4,395893,Destin Daniel Cretton,150000000,432224634
The Unholy,2021,99,5.1,23911,Evan Spiliotopoulos,10000000,30792024
King Richard,2021,144,7.5,120188,Reinaldo Marcus Green,50000000,37994866
Last Night in Soho,2021,116,7,146973,Edgar Wright,43000000,22876948
Voyagers,2021,108,5.4,23327,Neil Burger,29000000,4131781
The Tomorrow War,2021,138,6.5,211571,Chris McKay,200000000,19220000
Judas and the Black Messiah,2021,126,7.4,84386,Shaka King,26000000,7053949
Escape Room: Tournament of Champions,2021,88,5.7,48947,Adam Robitel,15000000,53493064
Lightyear,2022,105,6.1,111429,Angus MacLane,200000000,218768299
Strange World,2022,102,5.6,37667,"Don Hall, Qui Nguyen",135000000,69566884
Amsterdam,2022,134,6.1,72571,David O. Russell,80000000,29400826
Armageddon Time,2022,114,6.5,10775,James Gray,15000000,6374433
Terrifier 2,2022,138,6.2,31635,Damien Leone,250000,12964783
Babylon,2022,189,7.2,102541,Damien Chazelle,110000000,63262638
Thor: Love and Thunder,2022,118,6.3,354620,Taika Waititi,250000000,760928081
Halloween Ends,2022,111,5,58545,David Gordon Green,20000000,105199765
Nope,2022,130,6.8,212993,Jordan Peele,68000000,171172274
Scream,2022,114,6.3,129895,"Matt Bettinelli-Olpin, Tyler Gillett",24000000,138874789
Dog,2022,101,6.5,39308,"Reid Carolin, Channing Tatum",15000000,84677678
The Unbearable Weight of Massive Talent,2022,107,7,113333,Tom Gormican,30000000,29116320
Beast,2022,155,5.2,34210,Nelson Dilipkumar,36000000,59103794
Prey,2022,100,7.1,203359,Dan Trachtenberg,65000000,0
Hocus Pocus 2,2022,103,6,46731,Anne Fletcher,40000000,0
Violent Night,2022,112,6.7,67750,Tommy Wirkola,20000000,76599977
Sonic the Hedgehog 2,2022,122,6.5,72037,Jeff Fowler,90000000,405421518
Emancipation,2022,132,6.1,22189,Antoine Fuqua,120000000,0
Bullet Train,2022,127,7.3,332204,David Leitch,85900000,238534963
The Lost City,2022,112,6.1,131142,"Aaron Nee, Adam Nee",74000000,182921990
X,2022,105,6.6,122572,Ti West,1000000,15113105
Blacklight,2022,104,4.8,20493,Mark Williams,29000000,16017096
Ticket to Paradise,2022,104,6.2,44753,Ol Parker,60000000,172152007
A Day to Die,2022,105,3.5,4446,Wes Miller,5000000,98616
Father Stu,2022,124,6.5,23965,Rosalind Ross,4000000,21806425
Uncharted,2022,116,6.3,223014,Ruben Fleischer,120000000,400689914
"Lyle, Lyle, Crocodile",2022,106,6.1,10353,"Josh Gordon, Will Speck",50000000,107644101
Smile,2022,115,6.6,116811,Parker Finn,17000000,216049734
Barbarian,2022,102,7,141405,Zach Cregger,4500000,45352337
Avatar: The Way of Water,2022,192,7.7,339885,James Cameron,460000000,2316778069
The Gray Man,2022,122,6.5,212198,"Anthony Russo, Joe Russo",200000000,451178
Top Gun: Maverick,2022,130,8.3,562340,Joseph Kosinski,170000000,1481369482
The Batman,2022,176,7.8,688598,Matt Reeves,200000000,766326717
Elvis,2022,159,7.3,202203,Baz Luhrmann,85000000,279854594
Puss in Boots: The Last Wish,2022,102,7.9,111531,"Joel Crawford, Januel Mercado",90000000,483420341
Fantastic Beasts: The Secrets of Dumbledore,2022,142,6.2,149943,David Yates,200000000,404560145
Paws of Fury: The Legend of Hank,2022,98,5.7,5242,"Chris Bailey, Mark Koetsier, Rob Minkoff",45000000,40166138
Morbius,2022,104,5.2,134016,Daniel Espinosa,75000000,162759437
Minions: The Rise of Gru,2022,87,6.5,71816,"Kyle Balda, Brad Ableson, Jonathan del Val",80000000,939200081
Mrs. Harris Goes to Paris,2022,115,7.1,17421,Anthony Fabian,13000000,31188330
Moonfall,2022,130,5.1,85979,Roland Emmerich,150000000,59053195
Black Adam,2022,125,6.3,237383,Jaume Collet-Serra,200000000,391261706
A Man Called Otto,2022,126,7.4,52094,Marc Forster,50000000,108973274
Death on the Nile,2022,127,6.3,158396,Kenneth Branagh,90000000,130298184
Jurassic World: Dominion,2022,147,5.6,178750,Colin Trevorrow,165000000,1003775632
The Woman King,2022,135,6.8,57205,Gina Prince-Bythewood,50000000,94374749
Turning Red,2022,100,7,131373,Domee Shi,175000000,10964971
The Bad Guys,2022,100,6.8,46719,Pierre Perifel,70000000,250659286
The 355,2022,122,5.5,32144,Simon Kinberg,75000000,18902798
Black Panther: Wakanda Forever,2022,161,6.7,251348,Ryan Coogler,250000000,854041058
Where the Crawdads Sing,2022,125,7.2,89843,Olivia Newman,24000000,136539552
Doctor Strange in the Multiverse of Madness,2022,126,6.9,432214,Sam Raimi,200000000,952224986
The Menu,2022,107,7.2,284328,Mark Mylod,30000000,73040804
Jesus Revolution,2023,120,7.8,4862,"Jon Erwin, Brent McCorkle",15000000,52035413
Shazam! Fury of the Gods,2023,130,6.5,28019,David F. Sandberg,125000000,132128334
John Wick: Chapter 4,2023,169,8.3,89611,Chad Stahelski,100000000,352710888
Ant-Man and the Wasp: Quantumania,2023,124,6.4,94885,Peyton Reed,200000000,466009053
Creed III,2023,116,7.1,37494,Michael B. Jordan,75000000,271750498
65,2023,93,5.7,14175,"Scott Beck, Bryan Woods",45000000,56100231
Knock at the Cabin,2023,100,6.1,60480,M. Night Shyamalan,20000000,54629497
Scream VI,2023,122,7.1,38573,"Matt Bettinelli-Olpin, Tyler Gillett",35000000,167443772
80 for Brady,2023,98,5.8,4279,Kyle Marvin,28000000,39715674
Dungeons & Dragons: Honor Among Thieves,2023,134,7.6,23990,"Jonathan Goldstein, John Francis Daley",150000000,159720506
The Super Mario Bros. Movie,2023,92,7.4,3223,"Aaron Horvath, Michael Jelenic, Pierre Leduc, Fabien Polack",100000000,734658611
Operation Fortune: Ruse de guerre,2023,114,6.3,31573,Guy Ritchie,50000000,27542984
